224,"aor, aor-aoran",suara kucing mencari pasangan
225,"aos, ngaos, maos","aji, baca, mengaji, membaca"
226,apal cangkem,"hapal di luar kepala, namun tak mengerti maksudnya"
227,apan,partikel utk menyatakan suatu yang sudah pasti
228,"apay, apay-apayan",berjalan berleret-leret sambil berpegang-pegangan
229,"apeng, apeng-apengan",lari cepat bagaikan melayang
230,apet,tidak mau berpisah (anak kecil)
231,"aping,ngaping","menyertai, menjaga"
232,"aplak, ngaplak",luas dan rata
233,"aplek, ngaplek",terkulai karena patah
234,aplen,mengerjakan sesuatu pelan-pelan agar bagus
235,"aprak, ngaprak",pergi mencari memana-mana
236,"apret, apret-apretaan, uprat-apret",(remah-remah yang) bertebaran ditempat makan dsb
237,"apruk, ngapruk",berjajan kian kemari di tempat yang penuh pohon-pohonan atau semak atau sampah
238,"apung, ngapung",terbang
239,arap-ap-areup-eup,gagap
240,aray,ikatan padi yang kecil
241,"arek, erek, rek, edek, dek, deuk","hendak, akan, mau"
242,"arep , ngarep-ngarep","harap, mengharapkan, menanti-nanti"
243,areuy,"batang tumbuhan yang merambat (sirih, saga, dsb)"
244,"arey, ngarey",berjalan berduyun-duyun
245,ari,"sedangkan, kalau, jika"
246,"arileu, arila-arileu","berbelok·belok, berkelok-kelok (jalan, sungai, barisan, dsb)"
247,aron,nasi yang dikeringkan
248,arot,minum
249,artos,uang
250,arungsum,"sisip, makan sambil merusak"
5423,"arungsum, nyarungsum","sisip, menyisip"
251,"aruy,ngaruy",terasa air liur keluar
252,arwa,serba
253,asa,rasa
254,"asah, ngasah",mengasah
255,asak,jembatan
256,asak,matang
5432,asak,"jembatan, cara menata rambut"
257,"aseuk, ngaseuk","tugal (kayu panjang bulat ujungnya tajam), menugal"
258,aseupan,kukusan
259,"asong, kagok asong",terlanjur sudah disodorkan atau disanggupi sehingga terpaksa harus dilaksanakan
260,"asor, handap asor","rendah, sopan, merendah diri"
261,"asoy, ngasoy",maju sedikit-sedikit
262,"asrek, ngasrek",mencari binatang
263,"asrog, ngasrogkeun maneh",mengajukan diri
264,asruk,memburu binatang
265,astana,kuburan
266,asup,masuk
267,atah,mentah
268,atah anjang,jarang berkunjung
269,atah warah,tidak terpelajar
270,atar,"sifat ayam jantan yang pura pula kalah waktu diadu, tapi melawan lagi"
271,atawa,atau
272,ateul,gatal
273,ateul biwir,selalu kesal ingin berbicara
274,ateul dampal leungeun,kesal ingin menempeleng
275,ati,hati
276,ati sanubari,hati sanubari
277,ati-ati,hati-hati
278,"atik, ngatik","membimbing baik mental maupun fisik, mendidik"
279,atikan,"hal membimbing, pendidikan"
280,atoh,"girang, sukaria"
281,atok,"senang, gembira"
282,atra,jelas
283,atuh,utk mengeraskan arti kalimat
284,awad,pura-pura sakit
