211,antieun,"wanita pendiam, tenang dan bersahaja"
212,"anut, nganut","menurut, patuh, menganut, memeluk"
213,anyar,baru
214,aom,panggilan utk anak lelaki bupati
215,"aor, aor-aoran",suara kucing mencari pasangan
216,"aos, ngaos, maos","aji, baca, mengaji, membaca"
217,apan,partikel utk menyatakan suatu yang sudah pasti
218,"apay, apay-apayan",berjalan berleret-leret sambil berpegang-pegangan
219,"apeng, apeng-apengan",lari cepat bagaikan melayang
220,apet,tidak mau berpisah (anak kecil)
221,"aping,ngaping","menyertai, menjaga"
222,"aplak, ngaplak",luas dan rata
223,"aplek, ngaplek",terkulai karena patah
224,"aplen, diaplen",mengerjakan sesuatu pelan-pelan agar bagus
225,"aprak, ngaprak, upruk-aprak",pergi mencari memana-mana
226,"apret, apret-apretaan, uprat-apret",(remah-remah yang) bertebaran ditempat makan dsb
227,"apruk, ngapruk, uprak-apruk",berjajan kian kemari di tempat yang penuh pohon-pohonan atau semak atau sampah
228,"apung, ngapung",terbang
229,arap-ap-eureup-eup,"gagap, berkata tertahan-tahan dan tak jelas maksudnya karena kaget dsb"
230,"aray, ngaray","ikatan padi yang kecil sebelum diberkas menjadi satu, menjemur padi dgn membuka talinya terus dihamparkan"
231,"arek, erek, rek, edek, dek, deuk","hendak, akan, mau"
232,"arep , ngarep-ngarep, arep-repeun","harap, mengharapkan, menanti-nanti, khawatir kaget, kehilangan"
233,"areuy, ngareuy","batang tumbuhan yang merambat (sirih, saga, dsb), merambat, memanjat"
234,"arey, ngarey","berjalan berduyun-duyun (semut), berenang berduyun-duyun (ikan kecil)"
235,ari,"sedangkan, kalau, jika"
236,"arileu, arula-arileu","berbelok?elok, berkelok-kelok (jalan, sungai, barisan, dsb)"
237,aron,nasi yang dikeringkan
238,arot,minum
239,artos,uang
240,"arungsum, nyarungsum","sisip, menyisip"
241,"aruy,ngaruy",terasa air liur keluar
242,asa,rasa
243,"asah, ngasah",mengasah
244,asak,matang
245,asak,"jembatan, cara menata rambut"
246,"aseuk, ngaseuk","tugal (kayu panjang bulat ujungnya tajam), menugal"
247,aseupan,kukusan
248,"asong, kagok asong",terlanjur sudah disodorkan atau disanggupi sehingga terpaksa harus dilaksanakan
249,"asor, handap asor","rendah, sopan, merendah diri"
250,"asoy, ngasoy, asoy-asoyan",maju sedikit-sedikit
251,"asrek, ngasrek",mencari binatang
252,"asrog, ngasrogkeun maneh",mengajukan diri
253,"asruk, ngasruk","sama dgn kata asrek, (seseorang) menempuh tempat yg sudah dilalui atau hutan"
254,astana,kuburan
255,asup,"sama dengn abus, masuk"
256,atah,mentah
257,atah anjang,"jarang berkunjung, jarang bertamu"
258,atah anjang,jarang berkunjung
259,atah warah,tidak terpelajar
260,atar,"sifat ayam jantan yang pura pula kalah waktu diadu, tapi melawan lagi"
261,atawa,atau
262,ateul,gatal
263,ateul biwir,selalu kesal ingin berbicara
264,ateul dampal leungeun,kesal ingin menempeleng
265,ati,hati
266,ati sanubari,hati sanubari
267,ati-ati,hati-hati
268,"atik, ngatik, pangatik","membimbing baik mental maupun fisik, mendidik, yg membimbing, pembimbing"
269,atikan,"hal membimbing, pendidikan"
270,atoh,"girang, sukaria"
271,atok,"senang, gembira"
272,atra,"jelas, terang"
273,"atrok, ngatrok, atrok-atrokan, utrak-atrok",sama dgn kata ador
274,atuh,utk mengeraskan arti kalimat
275,awad,pura-pura sakit
276,awahan,ancang-ancang
277,awak,"badan, tubuh"
278,awak sabelah,janda yang hidup sendiri
279,aweh,memberi salam
280,"awer, uwar-awer",tumpah tidak kesatu tempat (spt orang saat menuangkan air dr cerek tidak semua air itu masuk ke dlm gelas)
281,awewe,"perempuan, wanita, istri"
282,awi,bambu
283,awis,mahal
284,"awit, kawit, ngawitan","asal, mulai, memulai"
285,awon,"buruk, jelek"
286,awuntah,"boros, tidak pandai mengatur pengeluaran rezeki"
287,"awur, ngawur, ngawurkeun","menaburkan, memberi makanan (burung merpati"
288,awur-awuran,bertaburan
289,"awut, ngawut-ngawut","acak, mengacak-acak, menjadikan berantakan (pakaian dlm iemari)"
290,aya,ada
291,"ayak, ngayak",memisahkan yang kasar dari yang halus
292,ayakan,alat utk memisahkan benda kasar
293,"ayeg, diayeg",terus-terusan dikasih (uang)
294,"ayer, ngayer",tidak berhenti-henti (hujan dsb)
295,ayeuh,rebah (pohon padi dsb)
296,"ayeuna, ayeuna-ayeuna","sekarang, kini, baru-baru saja"
297,"ayum, ngayuman","mengganti yg rusak, yg hilang atau yg tidak tumbuh"
298,"baal, dibaalan","kebal (perasaan akibat kedinginan), diberi kekebalan"
299,baan,bawa
300,babacakan,"sukata ria, pesta, makan-makan"
301,babadean,teka-teki
302,babadon,bubu
303,babadotan,"sejenis tumbuhan kecil, bunganya putih, daunnya bau kambing jantan, biasanya dipergunakan sbg obat lukata ringan"
304,"babahak, kukubahak",ujung busur yang biasanya dipakai utk mengikat kan tali busur berea bang dan dibuat dr tanduk dsb
305,babak,"terkelukur, lecet, ronde, sebuah lagu yang dinyanyikan tamat (satu bait)"
306,"babakan, ngababakan","daerah, kampung yang baru, mendirikan daerah atau kampung baru"
307,babakaur,"lipan, kelabang"
308,babalen,bepergian utk berjual beli
309,babancong,"bangunan kecil di pinggir alun-alun, panggung utk orang-orang besar (pd zaman-dulu)"
310,babang,"kabur (kapok tidak mau datang lagi sebab telah disakiti, diberi malu atau karena mempu nyai dosa)"
311,babar,"lahir, melahirkan, banyak, cukup utk orang banyak"
312,babaran,"penjelasan, uraian"
313,babari,"mudah, gampang"
314,babarian,cengeng
315,babarit,selamatan tujuh bulan yang sedang hamil
